Station	longitud	latitud 	elevation
WT002a	175.995956	-38.610172	567.87
WT055a	176.136078	-38.723803	517.74
WT059b	176.05875	-38.604292	487.07000000000005
WT106a	176.090122	-38.636117	400.3
WT043a	176.052414	-38.636103	486.97
WT151a	176.120817	-38.64125	464.67
WT501a	176.043142	-38.614475	486.5
WT014a	176.195833	-38.662931	406.18
WT080a	176.119322	-38.726342	484.9
WT192a	176.066839	-38.739683	355.43
WT038a	176.050225	-38.624617	523.34
WT311a	176.096389	-38.676614	409.93
WT184a	176.138317	-38.653756	489.32000000000005
WT307a	176.109444	-38.703989	440.77
WT079a	176.069061	-38.624339	417.69
WT096a	176.080592	-38.634167	403.67
WT327a	176.081197	-38.715508	356.49
WT223a	176.073472	-38.644722	470.4
WT331a	176.041475	-38.620106	512.29
WT018a	176.022708	-38.666981	495.6
WT080b	176.119339	-38.726372	481.47
WT063a	176.060956	-38.600117	452.89
WT126a	176.101025	-38.643814	396.97
WT034a	176.046267	-38.655133	530.1
WT171a	176.157969	-38.671072	472.61
WT188a	176.160364	-38.614189	322.9
WT022a	176.040192	-38.648725	587.0
WT167a	176.1221	-38.652392	483.19000000000005
WT219a	176.2117	-38.659892	341.77
WT130a	176.101911	-38.635633	381.78
WT189a	176.147414	-38.628147	388.8
WT023a	176.041058	-38.626175	542.77
WT166a	176.121111	-38.690728	464.01
WT035a	176.047275	-38.6455	462.9
WT062a	176.060192	-38.652794	482.91999999999996
WT127a	176.102586	-38.653742	406.67
WT330a	176.081094	-38.67055	394.66
WT150b	176.138386	-38.608719	417.85
WT222a	176.064444	-38.649053	465.35
WT058a	176.058439	-38.659592	470.04999999999995
WT326a	176.102378	-38.734344	437.0
WT214a	176.203281	-38.654206	381.48
WT078a	176.070572	-38.662547	428.1
WT097a	176.077344	-38.681356	393.1
WT306a	176.075433	-38.7323	382.76
WT185a	176.138178	-38.675911	473.53
WT310a	176.117117	-38.67135	445.26
WT170b	176.152308	-38.723442	548.3
WT193a	176.151544	-38.660144	441.42
WT039a	176.021025	-38.595222	550.3
WT202a	176.171283	-38.650144	421.61
WT081a	175.994219	-38.653975	625.92
WT150a	176.138369	-38.608742	416.9
WT500a	176.048558	-38.613933	508.04999999999995
WT015a	176.031667	-38.629058	540.7
WT107a	176.083942	-38.651467	404.66
WT042a	176.049428	-38.661819	488.4
WT111a	176.090311	-38.661911	395.02
WT054a	176.056356	-38.665075	463.8
WT146a	176.126164	-38.599397	464.91
WT003a	176.010486	-38.635703	597.7
WT008a	176.006078	-38.631156	561.8
WT053b	176.054444	-38.608286	471.63
WT225a	176.041494	-38.685408	402.6
WT049a	176.032864	-38.583656	510.5
WT337a	176.128558	-38.659661	471.74
WT209a	176.194878	-38.704483	478.28
WT069b	176.064411	-38.609458	430.16
WT065a	175.987864	-38.623656	567.6
WT120a	176.100833	-38.611614	443.1
WT032a	176.0442	-38.597367	476.51
WT198a	176.163178	-38.642639	428.79
WT177a	176.136042	-38.647286	492.52
WT024a	176.026667	-38.605772	504.16999999999996
WT073a	176.067969	-38.667922	428.2
WT136a	176.114322	-38.734475	474.09000000000003
WT511a	176.064097	-38.61635	475.54999999999995
WT141a	176.086058	-38.699439	378.8
WT004a	176.014792	-38.615092	548.5
WT116a	176.106111	-38.605417	397.9
WT100a	176.080833	-38.5895	499.1
WT045a	176.056719	-38.577292	507.88
WT507a	176.071736	-38.625531	407.96
WT012a	176.031442	-38.652331	602.3
WT086a	176.133783	-38.714519	527.57
WT205a	176.104219	-38.69565	437.6
WT340a	176.104844	-38.70875	446.24
WT194a	176.150919	-38.635214	447.02
WT028a	176.12375	-38.704614	494.6
WT182a	176.131911	-38.737981	517.12
WT301a	176.126614	-38.729053	486.5
WT090a	176.187778	-38.686911	437.13
WT213a	176.193056	-38.646042	378.9
WT091a	176.075956	-38.658031	407.7
WT300a	176.141511	-38.731939	536.59
WT029a	176.040175	-38.660603	498.5
WT183a	176.139272	-38.636603	446.22
WT033b	176.045608	-38.616672	516.21
WT316a	176.151406	-38.674328	494.88
WT195a	176.151544	-38.652561	445.34
WT064b	176.057708	-38.6145	507.86
WT204a	176.184689	-38.679697	487.78999999999996
WT341a	176.104828	-38.713736	431.06
WT068a	176.06415	-38.635172	470.73
WT087a	176.074617	-38.650222	413.89
WT156a	176.116822	-38.699692	461.43
WT506a	176.066858	-38.623625	438.52
WT064c	176.058281	-38.614717	512.89
WT101a	176.104689	-38.724175	443.03
WT033c	176.045608	-38.61695	516.35
WT044a	176.053994	-38.619706	498.63
WT052a	176.159931	-38.676828	528.98
WT140a	176.108681	-38.630025	378.28
WT005a	176.014669	-38.639636	551.47
WT072a	176.067831	-38.619061	444.66
WT025a	176.041094	-38.670378	483.20000000000005
WT160a	176.125139	-38.64545	479.5
WT199a	176.1025	-38.707917	446.9
WT336a	176.115192	-38.619639	336.98
WT048a	176.057431	-38.644636	447.81
WT101b	176.104706	-38.724242	440.0
WT224a	176.080278	-38.662678	365.3
WT117b	176.093628	-38.648725	405.53
WT134a	176.171719	-38.676792	507.40999999999997
WT071a	176.061042	-38.631892	519.66
WT163a	176.130347	-38.63545	465.16
WT026a	176.032414	-38.659469	570.79
WT175a	176.140383	-38.642461	473.47
WT030a	176.038089	-38.608308	473.89
WT088a	176.122222	-38.636081	434.5
WT122a	176.096858	-38.641828	391.82
WT159a	176.117639	-38.684767	449.31
WT335a	176.093975	-38.626897	382.35
WT118a	176.089478	-38.604853	410.56
WT323a	176.098003	-38.714158	407.15
WT211a	176.198942	-38.689444	413.45
WT092a	176.079497	-38.670781	408.24
WT138a	176.110172	-38.675494	429.38
WT303a	176.114878	-38.709869	484.45000000000005
WT180a	176.134792	-38.663972	457.0
WT315a	176.165278	-38.68145	604.46
WT179a	176.139669	-38.620719	373.87
WT084a	176.070417	-38.628211	494.72
WT339a	176.102169	-38.703525	416.92
WT010a	176.021528	-38.647375	548.7
WT155a	176.125417	-38.675942	462.86
WT505a	176.061042	-38.628556	493.69000000000005
WT047a	176.0508	-38.66905	454.69
WT102a	176.084497	-38.657772	358.73
WT051a	176.145311	-38.716194	550.44
WT114a	176.092256	-38.621689	378.72
WT006a	176.020156	-38.628658	557.0
WT513a	176.073264	-38.616072	410.24
WT143a	176.120347	-38.719544	496.97
WT512a	176.057328	-38.616481	504.38
WT142a	176.123247	-38.667592	460.32
WT050a	176.054583	-38.655178	499.16999999999996
WT115a	176.092414	-38.632019	380.54
WT046a	176.049583	-38.650186	541.4
WT103a	176.080711	-38.623472	388.57
WT011a	176.022397	-38.635839	503.6
WT154a	176.122847	-38.6551	473.78
WT504a	176.043247	-38.624003	512.82
WT085a	176.072083	-38.636358	437.15
WT178a	176.092483	-38.73925	419.52
WT197a	176.159306	-38.663994	452.55
WT314a	176.17045	-38.66685	455.25
WT181a	176.182328	-38.652406	410.3
WT302a	176.116042	-38.71605	483.78
WT070b	176.066528	-38.640239	526.93
WT210a	176.17955	-38.690958	501.88
WT119a	176.094219	-38.655867	405.1
WT334a	176.083594	-38.626514	428.34
WT508a	176.079444	-38.617861	410.24
WT089a	176.071561	-38.597922	447.42
WT066a	176.052014	-38.674856	436.5
WT206b	176.185503	-38.658644	410.17
WT174a	176.133003	-38.657647	496.80999999999995
WT031a	176.018611	-38.65395	540.4
WT162a	176.006667	-38.648231	616.6
WT027a	176.041719	-38.6432	472.6
WT093b	176.078733	-38.610039	404.19
WT135a	176.110956	-38.637089	479.15
WT070a	176.066597	-38.640214	529.29
WT132b	176.107847	-38.659106	410.9
WT217a	176.205903	-38.668161	373.96
WT094a	176.16915	-38.638983	400.46
WT305a	176.093506	-38.723828	413.45
WT169a	175.993611	-38.630431	563.7
WT186a	176.147622	-38.645933	469.8
WT313a	176.151058	-38.66455	457.07
WT190a	176.161544	-38.630878	423.86
WT201a	176.170244	-38.658333	409.83
WT128a	176.103697	-38.671367	413.9
WT082a	176.072986	-38.620069	454.86
