Latitude,Longitude
-38.743,175.999
-38.743,175.999
-38.743,176.000
-38.743,176.001
-38.743,176.001
-38.743,176.002
-38.743,176.003
-38.743,176.003
-38.743,176.004
-38.743,176.005
-38.743,176.005
-38.743,176.006
-38.743,176.007
-38.743,176.008
-38.743,176.008
-38.743,176.009
-38.743,176.010
-38.743,176.010
-38.743,176.011
-38.743,176.012
-38.743,176.012
-38.743,176.013
-38.743,176.014
-38.743,176.014
-38.743,176.015
-38.743,176.016
-38.743,176.016
-38.743,176.017
-38.743,176.018
-38.743,176.018
-38.743,176.019
-38.743,176.020
-38.743,176.020
-38.743,176.021
-38.743,176.022
-38.743,176.022
-38.743,176.023
-38.743,176.024
-38.743,176.024
-38.743,176.025
-38.743,176.026
-38.743,176.026
-38.743,176.027
-38.743,176.028
-38.743,176.028
-38.743,176.029
-38.743,176.030
-38.743,176.030
-38.743,176.031
-38.742,176.032
-38.742,176.032
-38.742,176.033
-38.742,176.034
-38.742,176.034
-38.742,176.035
-38.742,176.036
-38.742,176.036
-38.742,176.037
-38.742,176.038
-38.742,176.038
-38.742,176.039
-38.742,176.040
-38.742,176.040
-38.742,176.041
-38.742,176.042
-38.742,176.042
-38.742,176.043
-38.742,176.044
-38.742,176.045
-38.742,176.045
-38.742,176.046
-38.742,176.047
-38.742,176.047
-38.742,176.048
-38.742,176.049
-38.742,176.049
-38.742,176.050
-38.742,176.051
-38.742,176.051
-38.742,176.052
-38.742,176.053
-38.742,176.053
-38.742,176.054
-38.742,176.055
-38.742,176.055
-38.742,176.056
-38.742,176.057
-38.742,176.057
-38.742,176.058
-38.742,176.059
-38.742,176.059
-38.742,176.060
-38.742,176.061
-38.742,176.061
-38.742,176.062
-38.742,176.063
-38.742,176.063
-38.742,176.064
-38.742,176.065
-38.742,176.065
-38.742,176.066
-38.742,176.067
-38.742,176.067
-38.742,176.068
-38.741,176.069
-38.741,176.069
-38.741,176.070
-38.741,176.071
-38.741,176.071
-38.741,176.072
-38.741,176.073
-38.741,176.073
-38.741,176.074
-38.741,176.075
-38.741,176.075
-38.741,176.076
-38.741,176.077
-38.741,176.077
-38.741,176.078
-38.741,176.079
-38.741,176.079
-38.741,176.080
-38.741,176.081
-38.741,176.082
-38.741,176.082
-38.741,176.083
-38.741,176.084
-38.741,176.084
-38.741,176.085
-38.741,176.086
-38.741,176.086
-38.741,176.087
-38.741,176.088
-38.741,176.088
-38.741,176.089
-38.741,176.090
-38.741,176.090
-38.741,176.091
-38.741,176.092
-38.741,176.092
-38.741,176.093
-38.741,176.094
-38.741,176.094
-38.741,176.095
-38.741,176.096
-38.741,176.096
-38.741,176.097
-38.741,176.098
-38.741,176.098
-38.741,176.099
-38.741,176.100
-38.741,176.100
-38.741,176.101
-38.741,176.102
-38.741,176.102
-38.741,176.103
-38.741,176.104
-38.741,176.104
-38.741,176.105
-38.740,176.106
-38.740,176.106
-38.740,176.107
-38.740,176.108
-38.740,176.108
-38.740,176.109
-38.740,176.110
-38.740,176.110
-38.740,176.111
-38.740,176.112
-38.740,176.112
-38.740,176.113
-38.740,176.114
-38.740,176.114
-38.740,176.115
-38.740,176.116
-38.740,176.116
-38.740,176.117
-38.740,176.118
-38.740,176.119
-38.740,176.119
-38.740,176.120
-38.740,176.121
-38.740,176.121
-38.740,176.122
-38.740,176.123
-38.740,176.123
-38.740,176.124
-38.740,176.125
-38.740,176.125
-38.740,176.126
-38.740,176.127
-38.740,176.127
-38.740,176.128
-38.740,176.129
-38.740,176.129
-38.740,176.130
-38.740,176.131
-38.740,176.131
-38.740,176.132
-38.740,176.133
-38.740,176.133
-38.740,176.134
-38.740,176.135
-38.740,176.135
-38.740,176.136
-38.740,176.137
-38.740,176.137
-38.740,176.138
-38.740,176.139
-38.740,176.139
-38.740,176.140
-38.740,176.141
-38.740,176.141
-38.739,176.142
-38.739,176.143
-38.739,176.143
-38.739,176.144
-38.739,176.145
-38.739,176.145
-38.739,176.146
-38.739,176.147
-38.739,176.147
-38.739,176.148
-38.739,176.149
-38.739,176.149
-38.739,176.150
-38.739,176.151
-38.739,176.151
-38.739,176.152
-38.739,176.153
-38.739,176.153
-38.739,176.154
-38.739,176.155
-38.739,176.156
-38.739,176.156
-38.739,176.157
-38.739,176.158
-38.739,176.158
-38.739,176.159
-38.739,176.160
-38.739,176.160
-38.739,176.161
-38.739,176.162
-38.739,176.162
-38.739,176.163
-38.739,176.164
-38.739,176.164
-38.739,176.165
-38.739,176.166
-38.739,176.166
-38.739,176.167
-38.739,176.168
-38.739,176.168
-38.739,176.169
-38.739,176.170
-38.739,176.170
-38.739,176.171
-38.739,176.172
-38.739,176.172
-38.739,176.173
-38.739,176.174
-38.739,176.174
-38.739,176.175
-38.739,176.176
-38.739,176.176
-38.739,176.177
-38.738,176.178
-38.738,176.178
-38.738,176.179
-38.738,176.180
-38.738,176.180
-38.738,176.181
-38.738,176.182
-38.738,176.182
-38.738,176.183
-38.738,176.184
-38.738,176.184
-38.738,176.185
-38.738,176.186
-38.738,176.186
-38.738,176.187
-38.738,176.188
-38.738,176.188
-38.738,176.189
-38.738,176.190
-38.738,176.190
-38.738,176.191
-38.738,176.192
-38.738,176.192
-38.738,176.193
-38.738,176.194
-38.738,176.195
-38.738,176.195
-38.738,176.196
-38.738,176.197
-38.738,176.197
-38.738,176.198
-38.738,176.199
-38.738,176.199
-38.738,176.200
-38.738,176.201
-38.738,176.201
-38.738,176.202
-38.738,176.203
-38.738,176.203
-38.738,176.204
-38.738,176.205
-38.738,176.205
-38.738,176.206
-38.738,176.207
-38.738,176.207
-38.738,176.208
-38.738,176.209
-38.738,176.209
-38.738,176.210
-38.738,176.211
-38.738,176.211
-38.738,176.212
-38.738,176.213
-38.737,176.213
-38.737,176.214
-38.737,176.215
-38.737,176.215
-38.737,176.216
-38.737,176.217
-38.737,176.217
-38.737,176.218
-38.737,176.219
-38.737,176.219
-38.737,176.220
-38.737,176.221
-38.737,176.221
-38.737,176.222
-38.737,176.223
-38.737,176.223
-38.737,176.224
-38.737,176.225
-38.737,176.225
-38.737,176.226
-38.737,176.227
-38.737,176.227
-38.737,176.228
-38.737,176.229
-38.737,176.229
-38.737,176.230
-38.737,176.231
-38.737,176.232
-38.737,176.232
-38.737,176.233
-38.737,176.234
-38.737,176.234
-38.737,176.235
-38.737,176.236
-38.737,176.236
-38.737,176.237
-38.737,176.238
-38.737,176.238
-38.737,176.239
-38.737,176.240
-38.737,176.240
-38.737,176.241
-38.737,176.242
-38.737,176.242
-38.737,176.243
-38.737,176.244
-38.737,176.244
-38.737,176.245
-38.737,176.246
-38.737,176.246
-38.737,176.247
-38.737,176.248
-38.737,176.248
-38.736,176.249
-38.736,176.250
-38.736,176.250
-38.736,176.251
-38.736,176.252
-38.736,176.252
-38.736,176.253
-38.736,176.254
-38.736,176.254
-38.736,176.255
-38.736,176.256
-38.736,176.256
-38.736,176.257
-38.736,176.258
-38.736,176.258
-38.736,176.259
-38.736,176.260
-38.736,176.260
-38.736,176.261
-38.736,176.262
-38.736,176.262
-38.736,176.263
-38.736,176.264
-38.736,176.264
-38.736,176.265
-38.736,176.266
-38.736,176.266
-38.736,176.267
-38.736,176.268
-38.736,176.269
-38.745,175.948
-38.745,175.949
-38.745,175.950
-38.745,175.950
-38.745,175.951
-38.745,175.952
-38.745,175.952
-38.745,175.953
-38.745,175.954
-38.745,175.954
-38.745,175.955
-38.745,175.956
-38.745,175.956
-38.745,175.957
-38.745,175.958
-38.745,175.958
-38.745,175.959
-38.745,175.960
-38.745,175.960
-38.745,175.961
-38.745,175.962
-38.745,175.962
-38.745,175.963
-38.745,175.964
-38.745,175.964
-38.745,175.965
-38.745,175.966
-38.745,175.966
-38.745,175.967
-38.745,175.968
-38.745,175.969
-38.745,175.969
-38.745,175.970
-38.745,175.971
-38.745,175.971
-38.745,175.972
-38.745,175.973
-38.745,175.973
-38.745,175.974
-38.745,175.975
-38.745,175.975
-38.744,175.976
-38.744,175.977
-38.744,175.977
-38.744,175.978
-38.744,175.979
-38.744,175.979
-38.744,175.980
-38.744,175.981
-38.744,175.981
-38.744,175.982
-38.744,175.983
-38.744,175.983
-38.744,175.984
-38.744,175.985
-38.744,175.985
-38.744,175.986
-38.744,175.987
-38.744,175.987
-38.744,175.988
-38.744,175.989
-38.744,175.989
-38.744,175.990
-38.744,175.991
-38.744,175.991
-38.744,175.992
-38.744,175.993
-38.744,175.993
-38.744,175.994
-38.744,175.995
-38.744,175.995
-38.744,175.996
-38.744,175.997
-38.744,175.997
-38.744,175.998
-38.744,175.999
-38.744,175.999
-38.744,176.000
-38.744,176.001
-38.744,176.001
-38.744,176.002
-38.744,176.003
-38.744,176.003
-38.744,176.004
-38.744,176.005
-38.744,176.006
-38.744,176.006
-38.744,176.007
-38.744,176.008
-38.744,176.008
-38.744,176.009
-38.744,176.010
-38.744,176.010
-38.744,176.011
-38.744,176.012
-38.744,176.012
-38.744,176.013
-38.743,176.014
-38.743,176.014
-38.743,176.015
-38.743,176.016
-38.743,176.016
-38.743,176.017
-38.743,176.018
-38.743,176.018
-38.743,176.019
-38.743,176.020
-38.743,176.020
-38.743,176.021
-38.743,176.022
-38.743,176.022
-38.743,176.023
-38.743,176.024
-38.743,176.024
-38.743,176.025
-38.743,176.026
-38.743,176.026
-38.743,176.027
-38.743,176.028
-38.743,176.028
-38.743,176.029
-38.743,176.030
-38.743,176.030
-38.743,176.031
-38.743,176.032
-38.743,176.032
-38.743,176.033
-38.743,176.034
-38.743,176.034
-38.743,176.035
-38.743,176.036
-38.743,176.036
-38.743,176.037
-38.743,176.038
-38.743,176.038
-38.743,176.039
-38.743,176.040
