lat_dec, lon_dec, elev [m] 
-38.546,175.943,499.72
-38.546,175.958,499.42
-38.546,175.974,501.28
-38.546,175.989,479.95
-38.546,176.004,468.75
-38.548,175.953,482.58
-38.547,176.020,500.82
-38.548,175.968,519.78
-38.547,176.035,609.76
-38.549,175.984,480.14
-38.547,176.051,612.86
-38.549,175.999,467.07
-38.547,176.066,528.50
-38.551,175.947,500.36
-38.549,176.015,494.52
-38.547,176.082,468.79
-38.551,175.963,516.21
-38.549,176.030,589.08
-38.547,176.097,440.82
-38.551,175.978,507.47
-38.549,176.045,600.04
-38.547,176.113,422.35
-38.551,175.994,480.14
-38.549,176.061,534.70
-38.547,176.128,503.99
-38.553,175.942,518.00
-38.551,176.009,481.62
-38.549,176.076,459.92
-38.547,176.143,381.85
-38.546,176.211,354.35
-38.553,175.958,497.46
-38.551,176.025,580.11
-38.549,176.092,443.13
-38.548,176.159,342.13
-38.546,176.226,335.42
-38.553,175.973,520.38
-38.551,176.040,601.35
-38.549,176.107,420.86
-38.548,176.174,330.95
-38.546,176.241,351.78
-38.553,175.989,487.96
-38.551,176.056,668.78
-38.550,176.123,419.98
-38.548,176.190,360.05
-38.553,176.004,485.61
-38.552,176.071,519.83
-38.550,176.138,383.70
-38.548,176.205,355.28
-38.555,175.952,507.36
-38.553,176.019,570.73
-38.552,176.087,440.05
-38.550,176.154,341.39
-38.548,176.221,340.25
-38.555,175.968,517.46
-38.554,176.035,593.16
-38.552,176.102,439.46
-38.550,176.169,339.43
-38.548,176.236,322.36
-38.555,175.983,499.92
-38.554,176.050,580.47
-38.552,176.117,421.88
-38.550,176.185,364.19
-38.548,176.252,355.16
-38.556,175.999,494.88
-38.554,176.066,629.85
-38.552,176.133,390.05
-38.550,176.200,361.23
-38.557,175.947,536.70
-38.556,176.014,575.99
-38.554,176.081,460.17
-38.552,176.148,360.24
-38.550,176.215,341.14
-38.558,175.963,517.08
-38.556,176.030,576.68
-38.554,176.097,445.07
-38.552,176.164,341.41
-38.550,176.231,320.04
-38.558,175.978,514.16
-38.556,176.045,579.95
-38.554,176.112,443.96
-38.552,176.179,358.51
-38.550,176.246,347.45
-38.558,175.993,510.72
-38.556,176.061,641.57
-38.554,176.128,460.20
-38.552,176.195,366.66
-38.560,175.942,534.71
-38.558,176.009,519.47
-38.556,176.076,478.49
-38.554,176.143,389.84
-38.552,176.210,340.30
-38.560,175.957,515.87
-38.558,176.024,577.15
-38.556,176.091,475.83
-38.554,176.159,348.07
-38.553,176.226,323.89
-38.560,175.973,569.61
-38.558,176.040,580.84
-38.556,176.107,488.50
-38.555,176.174,378.95
-38.553,176.241,335.86
-38.560,175.988,519.99
-38.558,176.055,583.51
-38.556,176.122,490.86
-38.555,176.189,373.54
-38.560,176.004,510.74
-38.558,176.071,600.89
-38.557,176.138,383.89
