latitude,longitude
-38.625769063,176.105592458
-38.623600901,176.110215163
-38.624853762,176.112299011
-38.630012636,176.114828343
-38.637320007,176.114589788
-38.641363842,176.114640246
-38.645110438,176.114300672
-38.655588301,176.113871511
-38.657823652,176.114044276
-38.660759217,176.113630641
-38.664033688,176.113392241
-38.667124026,176.113501296
-38.669142996,176.113461778
-38.673132830,176.113383686
-38.676480109,176.113183150
-38.681385282,176.113352033
-38.696397190,176.112544213
-38.700878652,176.112569460
-38.706986512,176.112131776
-38.715988445,176.111845550
-38.718315708,176.111898191
-38.720710583,176.111699996
-38.723458530,176.111793695
-38.726455622,176.111580802
-38.737516323,176.108117320
-38.743052959,176.105851992
-38.745721984,176.104885621
-38.750240046,176.102843352
-38.764261162,176.097269060
-38.767473790,176.096506928
-38.770338052,176.094850383
-38.781423974,176.090387123
-38.788042229,176.087493070
-38.794979850,176.085247661
-38.806596528,176.080341289
