latitude,longitude
-38.626493673,176.211886862
-38.628393679,176.209628716
-38.629750847,176.207544132
-38.631515139,176.205285675
-38.633008008,176.203200806
-38.634229443,176.201810784
-38.635179457,176.200246990
-38.636265187,176.198509351
-38.636672305,176.195381766
-38.636943679,176.193122882
-38.637757883,176.190342459
-38.638300657,176.188257064
-38.638843436,176.186519133
-38.639521877,176.184085952
-38.639928855,176.181826568
-38.640335848,176.179914682
-38.640607174,176.178697979
-38.641557035,176.176438028
-38.641692702,176.175916535
-38.642099704,176.174352015
-38.642778077,176.172091978
-38.642234911,176.170701823
-38.641963380,176.170354384
-38.640469996,176.168791108
-38.638162254,176.167576105
-38.635854415,176.165839700
-38.633275182,176.164451155
-38.630289218,176.164800969
-38.627167364,176.164281803
-38.625131339,176.163761857
-38.623231203,176.163763157
-38.620516412,176.162722297
-38.618615942,176.161680898
-38.616444003,176.160639686
-38.614272035,176.159598476
-38.612778936,176.159251903
-38.609656990,176.158558825
-38.607078059,176.158212886
-38.605314461,176.160125214
-38.603686137,176.160994843
-38.602601009,176.162559070
-38.601380436,176.164818176
-38.600431075,176.166555841
-38.599617621,176.168814498
-38.598125334,176.170552169
-38.597175978,176.172463227
-38.595955156,176.174374269
-38.593648535,176.176285487
-38.591749101,176.178370103
-38.590800056,176.181670021
-38.590801055,176.185316908
-38.590937481,176.188269027
-38.591345217,176.191047391
-38.591752921,176.194172995
-38.592839251,176.198687646
-38.593653731,176.200771316
-38.594468119,176.202334076
-38.595011097,176.204765022
-38.595418285,176.206501407
-38.595689738,176.209105950
-38.596096834,176.211363227
-38.596911013,176.213099661
-38.598946504,176.214489035
-38.601117682,176.215357564
-38.601796163,176.215704954
-38.602067564,176.215704997
-38.603288813,176.216399771
-38.604510065,176.216920914
-38.605731242,176.218136665
-38.607223755,176.219699806
-38.608987675,176.220915748
-38.610751645,176.221610764
-38.612922767,176.221784912
-38.615229634,176.221611756
-38.617807993,176.220743935
-38.619165036,176.220223169
-38.621064941,176.219181423
-38.622964912,176.217618535
-38.624593617,176.214665933
-38.625679364,176.213102732
-38.626493673,176.211886862
