latitude,longitude
-38.639444888,176.044480213
-38.634822084,176.045058451
-38.630090216,176.044457058
-38.626304005,176.043248849
-38.622519443,176.044161055
-38.618734793,176.045073073
-38.614711612,176.043864906
-38.611398871,176.043564771
-38.607613052,176.043567825
-38.604301166,176.044478982
-38.601700708,176.047206495
-38.599811352,176.051447333
-38.599815354,176.056292212
-38.600291891,176.060531001
-38.601715315,176.065677457
-38.602191554,176.070218722
-38.602904156,176.074759741
-38.603379251,176.078089769
-38.604564620,176.082630414
-38.605748891,176.085354610
-38.606459879,176.088078975
-38.607407482,176.091105976
-38.608591756,176.094738370
-38.610012244,176.097765262
-38.612851648,176.099580964
-38.615927563,176.101699421
-38.618529994,176.102909833
-38.620422772,176.104423185
-38.623735060,176.107450102
-38.626573759,176.108660673
-38.629412277,176.109265750
-38.632681277,176.109926222
-38.635445385,176.110123461
-38.638976681,176.109141040
-38.641433317,176.108944807
-38.644043542,176.109141804
-38.645732610,176.109731916
-38.647421747,176.110715300
-38.649110931,176.112091945
-38.651107081,176.113468616
-38.653410385,176.115828492
-38.654638809,176.117401696
-38.656481240,176.119171601
-38.658016676,176.121727980
-38.659551931,176.123694463
-38.660626562,176.125070998
-38.661701235,176.127823877
-38.662315324,176.130576629
-38.662775830,176.132739458
-38.663696720,176.136082006
-38.664464027,176.138834654
-38.665384728,176.141587320
-38.666612369,176.143750291
-38.667840024,176.145323486
-38.669681396,176.147879909
-38.670908569,176.151419102
-38.672289212,176.154368588
-38.674130419,176.156335365
-38.676585972,176.156336503
-38.678427931,176.155157704
-38.680883772,176.153979079
-38.683186140,176.152800278
-38.685488370,176.152211264
-38.687483711,176.151425441
-38.689326004,176.148869692
-38.691014802,176.146313699
-38.691936303,176.143167353
-38.692857848,176.139430800
-38.694239622,176.136677457
-38.696081581,176.135694166
-38.697770017,176.135104181
-38.699765390,176.134907560
-38.701914278,176.134710904
-38.703756146,176.134907642
-38.705444435,176.135694535
-38.706058152,176.137071589
-38.706364701,176.139235505
-38.706057203,176.141596042
-38.704828781,176.143759663
-38.702372606,176.145332834
-38.700837474,176.146512663
-38.700529915,176.148872782
-38.700682875,176.150839612
-38.701296305,176.152609885
-38.702370039,176.154773677
-38.703904433,176.156150953
-38.705592373,176.157331652
-38.709582907,176.157726478
-38.712038837,176.157530642
-38.714494691,176.157728194
-38.716643680,176.157728918
-38.719253375,176.157336313
-38.721095750,176.156549941
-38.723245345,176.155370089
-38.724167339,176.152812555
-38.724782017,176.151041868
-38.725089909,176.148484016
-38.725091205,176.144351892
-38.725399403,176.140416385
-38.725553792,176.137267839
-38.725861758,176.133725558
-38.726169666,176.130183092
-38.726631056,176.126640387
-38.726631776,176.123097622
-38.726786039,176.119160948
-38.726172382,176.116011793
-38.725404901,176.114437421
-38.724330415,176.112075821
-38.723409392,176.110107833
-38.722334777,176.108336788
-38.721260153,176.106368894
-38.720185534,176.103810419
-38.718803776,176.101252136
-38.716347188,176.098891468
-38.714351194,176.097711698
-38.712815781,176.095744163
-38.710973248,176.093579994
-38.709130720,176.092006437
-38.706981078,176.090236255
-38.705138520,176.088859586
-38.702528352,176.087877219
-38.699304223,176.087682700
-38.696847688,176.087093873
-38.694851556,176.085717315
-38.692241334,176.084538024
-38.690245294,176.083751986
-38.687634955,176.082375821
-38.685024693,176.081393313
-38.682875046,176.080607316
-38.680571841,176.079821396
-38.677807851,176.078642050
-38.675658428,176.078643276
-38.673355464,176.078644525
-38.671052303,176.078252090
-38.669363339,176.078056114
-38.667827403,176.076875986
-38.666231916,176.075359402
-38.664553178,176.074204038
-38.663655683,176.072054503
-38.662869714,176.070332662
-38.662419443,176.068041809
-38.662192973,176.065038323
-38.662304162,176.063468071
-38.662415113,176.061612220
-38.662301229,176.059324199
-38.662186304,176.055749692
-38.661509993,176.052592079
-38.660496650,176.050569098
-38.659594972,176.048832640
-38.658466945,176.047089293
-38.656999217,176.045765661
-38.653944542,176.044401235
-38.651108024,176.044188144
-38.648604630,176.043982772
-38.646322890,176.043782456
-38.643462649,176.043423070
-38.641513079,176.043663529
-38.639444888,176.044480213
