latitude,longitude
-38.776392687,175.788649038
-38.777407765,175.786987087
-38.779024820,175.785649317
-38.780073634,175.783133191
-38.781099451,175.779903848
-38.783480574,175.784168733
-38.787329584,175.781627989
-38.789815073,175.780532685
-38.794461600,175.777282069
-38.794941819,175.774785953
-38.794875680,175.772650629
-38.794776386,175.769447519
-38.796047525,175.765525299
-38.796727795,175.760541461
-38.797085033,175.754137845
-38.795649119,175.752716476
-38.793330951,175.749869709
-38.792159362,175.748088446
-38.789645226,175.748086881
-38.788985601,175.744876967
-38.789176016,175.742024616
-38.788829304,175.739883985
-38.787060438,175.737023515
-38.786608555,175.734161254
-38.783223811,175.732980044
-38.781801076,175.731419609
-38.779622402,175.730238727
-38.778082724,175.730032144
-38.776712272,175.730410204
-38.775216126,175.731761638
-38.774155406,175.732338799
-38.772957224,175.733500903
-38.771466115,175.735248802
-38.769171557,175.736214962
-38.767312540,175.736402648
-38.765186641,175.738157350
-38.763793472,175.738545230
-38.762723345,175.739327158
-38.760541442,175.739714855
-38.760793204,175.737750463
-38.760718648,175.735392268
-38.759292782,175.734991996
-38.758141854,175.733411735
-38.755752195,175.732608834
-38.753709605,175.732989982
-38.752315068,175.733968537
-38.751400704,175.735148882
-38.750135970,175.735340213
-38.748659714,175.733947302
-38.747499862,175.732554044
-38.746094379,175.733535842
-38.745044276,175.735711519
-38.744306774,175.737692679
-38.743247802,175.739674922
-38.742329013,175.741063774
-38.740257790,175.741657459
-38.738317294,175.741455873
-38.736378435,175.741453232
-38.735238935,175.741252082
-38.733870167,175.742349743
-38.731546487,175.742693218
-38.729227707,175.743417469
-38.727625063,175.743773997
-38.726472552,175.744517988
-38.725029483,175.745449481
-38.723010590,175.746947037
-38.721152438,175.749022713
-38.720156434,175.750348096
-38.719753033,175.751680805
-38.720115401,175.753784679
-38.719705961,175.754927328
-38.717946538,175.755678977
-38.716344165,175.756816135
-38.714618952,175.758913019
-38.713303014,175.759865286
-38.712416490,175.760245109
-38.710772579,175.760430218
-38.709961139,175.763309767
-38.708546610,175.766192054
-38.707419013,175.768694164
-38.706730619,175.770813571
-38.705588172,175.772936509
-38.703614549,175.772750544
-38.702480819,175.770436887
-38.700621449,175.769280522
-38.698470869,175.768702421
-38.696626329,175.768316410
-38.695083913,175.767929370
-38.693102215,175.768318564
-38.691115521,175.768708671
-38.688536667,175.770074257
-38.686550599,175.770857591
-38.684410356,175.771838498
-38.682407703,175.772430427
-38.681048394,175.773804420
-38.680017372,175.775766677
-38.679610023,175.777727612
-38.679239076,175.780865046
-38.678518340,175.782831349
-38.677809081,175.785191634
-38.676936219,175.787359838
-38.675923653,175.790121517
-38.676606209,175.791878989
-38.678191351,175.792443859
-38.679022306,175.793999543
-38.680134384,175.794569287
-38.680819484,175.796516326
-38.682414570,175.797661940
-38.681876318,175.800412099
-38.680683276,175.802199102
-38.680575661,175.803768643
-38.680336081,175.806125322
-38.680246480,175.808283118
-38.680625239,175.810428989
-38.682077151,175.811957052
-38.683239422,175.814273164
-38.684202533,175.815223254
-38.682826701,175.816046375
-38.682078029,175.817047682
-38.681496625,175.818436513
-38.680254088,175.818671294
-38.678546182,175.819117230
-38.676526823,175.819770362
-38.674641459,175.819830465
-38.673060853,175.819683937
-38.671659267,175.820319661
-38.671233930,175.821910396
-38.669822979,175.822351663
-38.668909249,175.823566639
-38.668335855,175.825561190
-38.667450597,175.827766231
-38.666698905,175.829177779
-38.665793440,175.830794380
-38.664757872,175.833407861
-38.663714726,175.835826984
-38.662239173,175.839854475
-38.661554649,175.843654668
-38.661065586,175.848640284
-38.660688312,175.851045300
-38.660754619,175.853204122
-38.660989750,175.855757416
-38.661393543,175.858704269
-38.661779052,175.861061447
-38.662007707,175.863416260
-38.662537409,175.865380694
-38.663698237,175.867543696
-38.664509308,175.868527444
-38.666099196,175.869514004
-38.666698510,175.868734876
-38.668206658,175.867180314
-38.670230666,175.867388049
-38.671321131,175.867589670
-38.671975806,175.868762818
-38.673052040,175.868573746
-38.674719998,175.867609987
-38.675946429,175.867422896
-38.677342362,175.867819813
-38.678305081,175.869184214
-38.678665054,175.870932709
-38.678724008,175.872873725
-38.678157341,175.874425424
-38.676673843,175.876171867
-38.674535418,175.876754190
-38.671766469,175.877143081
-38.670384275,175.877533099
-38.668390080,175.878314642
-38.667636343,175.879096802
-38.667067244,175.880856954
-38.665862364,175.882229096
-38.664932217,175.882427599
-38.663838725,175.882430930
-38.662953784,175.884197749
-38.661272111,175.885578213
-38.661470570,175.886950669
-38.663102295,175.889097424
-38.662367007,175.890671565
-38.661329233,175.892642402
-38.660592162,175.894219973
-38.659697197,175.895800784
-38.658498279,175.897780269
-38.657927783,175.899754213
-38.658156470,175.902111185
-38.658741303,175.905838158
-38.658473827,175.907416089
-38.658206218,175.908994606
-38.658259418,175.910763946
-38.659769899,175.913877934
-38.660771397,175.915820022
-38.661922568,175.917559815
-38.663547509,175.919481212
-38.664856834,175.921407302
-38.666470062,175.923126013
-38.668201591,175.924418918
-38.669409932,175.924524456
-38.670364345,175.923546639
-38.670985891,175.922442650
-38.671384836,175.921209160
-38.671896152,175.920110457
-38.672740546,175.919278121
-38.673811950,175.918849926
-38.674996776,175.918691445
-38.676290085,175.918666489
-38.677129981,175.917974683
-38.678475669,175.916330855
-38.679533023,175.915908951
-38.680169421,175.915763950
-38.681108194,175.915076338
-38.681824418,175.914124676
-38.682437351,175.913310227
-38.682939408,175.912364125
-38.682695242,175.911293344
-38.684165124,175.910874972
-38.684860089,175.909394817
-38.685452534,175.908051637
-38.686153310,175.906843361
-38.686860908,175.905904135
-38.687022794,175.904301096
-38.688538373,175.902430251
-38.689571034,175.902029694
-38.691025366,175.901895728
-38.692155813,175.901496910
-38.693183806,175.901231640
-38.694201398,175.900702183
-38.695105628,175.899909305
-38.696734784,175.899383947
-38.697416201,175.899325260
-38.698028978,175.899777672
