# lat	lon	mean_temp_z1	std_temp_z1	mean_temp_z2	std_temp_z2
175.9700	-38.7400	100.02	99.96	175.18	94.63
175.9723	-38.7400	100.06	99.36	175.21	94.03
175.9746	-38.7400	100.10	98.78	175.23	93.44
175.9770	-38.7400	100.14	98.20	175.26	92.86
175.9793	-38.7400	100.18	97.63	175.29	92.29
175.9816	-38.7400	100.22	97.07	175.32	91.72
175.9839	-38.7400	100.26	96.52	175.35	91.17
175.9863	-38.7400	100.31	95.98	175.38	90.62
175.9886	-38.7400	100.36	95.45	175.41	90.08
175.9909	-38.7400	100.41	94.92	175.45	89.56
175.9932	-38.7400	100.46	94.41	175.49	89.04
175.9956	-38.7400	100.51	93.90	175.52	88.53
175.9979	-38.7400	100.56	93.40	175.56	88.02
176.0002	-38.7400	100.61	92.92	175.60	87.53
176.0025	-38.7400	100.67	92.44	175.65	87.05
176.0048	-38.7400	100.73	91.97	175.69	86.58
176.0072	-38.7400	100.79	91.51	175.73	86.12
176.0095	-38.7400	100.85	91.07	175.78	85.67
176.0118	-38.7400	100.91	90.63	175.83	85.23
176.0141	-38.7400	100.97	90.20	175.88	84.79
176.0165	-38.7400	101.03	89.79	175.93	84.37
176.0188	-38.7400	101.10	89.38	175.99	83.97
176.0211	-38.7400	101.16	88.98	176.04	83.57
176.0234	-38.7400	101.23	88.60	176.10	83.18
176.0258	-38.7400	101.30	88.23	176.16	82.80
176.0281	-38.7400	101.37	87.86	176.22	82.44
176.0304	-38.7400	101.43	87.51	176.28	82.08
176.0327	-38.7400	101.50	87.17	176.34	81.74
176.0351	-38.7400	101.58	86.84	176.41	81.41
176.0374	-38.7400	101.65	86.53	176.48	81.10
176.0397	-38.7400	101.72	86.22	176.55	80.79
176.0420	-38.7400	101.79	85.93	176.62	80.50
176.0443	-38.7400	101.86	85.64	176.69	80.21
176.0467	-38.7400	101.94	85.37	176.77	79.95
176.0490	-38.7400	102.01	85.11	176.85	79.69
176.0513	-38.7400	102.08	84.87	176.93	79.45
176.0536	-38.7400	102.15	84.63	177.01	79.22
176.0560	-38.7400	102.22	84.41	177.09	79.00
176.0583	-38.7400	102.29	84.20	177.18	78.80
176.0606	-38.7400	102.36	84.00	177.27	78.61
176.0629	-38.7400	102.43	83.81	177.36	78.43
176.0653	-38.7400	102.50	83.64	177.45	78.27
176.0676	-38.7400	102.57	83.47	177.54	78.12
176.0699	-38.7400	102.63	83.33	177.63	77.99
176.0722	-38.7400	102.69	83.19	177.73	77.87
176.0745	-38.7400	102.75	83.06	177.82	77.77
176.0769	-38.7400	102.81	82.95	177.92	77.68
176.0792	-38.7400	102.87	82.85	178.02	77.60
176.0815	-38.7400	102.92	82.77	178.11	77.54
176.0838	-38.7400	102.97	82.69	178.21	77.50
176.0862	-38.7400	103.02	82.63	178.31	77.47
176.0885	-38.7400	103.06	82.59	178.41	77.46
176.0908	-38.7400	103.10	82.55	178.50	77.46
176.0931	-38.7400	103.13	82.53	178.60	77.48
176.0955	-38.7400	103.17	82.52	178.69	77.51
176.0978	-38.7400	103.19	82.53	178.79	77.56
176.1001	-38.7400	103.22	82.55	178.88	77.63
176.1024	-38.7400	103.24	82.58	178.97	77.71
176.1047	-38.7400	103.25	82.63	179.05	77.81
176.1071	-38.7400	103.26	82.69	179.13	77.93
176.1094	-38.7400	103.27	82.77	179.21	78.06
176.1117	-38.7400	103.27	82.87	179.28	78.22
176.1140	-38.7400	103.27	82.99	179.35	78.38
176.1164	-38.7400	103.27	83.12	179.41	78.57
176.1187	-38.7400	103.27	83.28	179.46	78.78
176.1210	-38.7400	103.26	83.46	179.51	79.00
176.1233	-38.7400	103.25	83.66	179.55	79.25
176.1257	-38.7400	103.24	83.89	179.58	79.52
176.1280	-38.7400	103.22	84.15	179.61	79.80
176.1303	-38.7400	103.21	84.44	179.62	80.11
176.1326	-38.7400	103.19	84.76	179.63	80.43
176.1349	-38.7400	103.18	85.10	179.63	80.78
176.1373	-38.7400	103.16	85.48	179.61	81.15
176.1396	-38.7400	103.15	85.88	179.59	81.54
176.1419	-38.7400	103.13	86.31	179.57	81.95
176.1442	-38.7400	103.12	86.76	179.53	82.37
176.1466	-38.7400	103.10	87.24	179.49	82.82
176.1489	-38.7400	103.08	87.73	179.45	83.28
176.1512	-38.7400	103.07	88.25	179.40	83.76
176.1535	-38.7400	103.05	88.78	179.35	84.25
176.1559	-38.7400	103.04	89.32	179.30	84.76
176.1582	-38.7400	103.02	89.89	179.24	85.28
176.1605	-38.7400	103.00	90.46	179.18	85.81
176.1628	-38.7400	102.98	91.05	179.12	86.36
176.1652	-38.7400	102.97	91.65	179.06	86.92
176.1675	-38.7400	102.95	92.26	178.99	87.49
176.1698	-38.7400	102.93	92.88	178.93	88.08
176.1721	-38.7400	102.91	93.51	178.87	88.67
176.1744	-38.7400	102.90	94.14	178.81	89.28
176.1768	-38.7400	102.88	94.79	178.74	89.90
176.1791	-38.7400	102.86	95.45	178.68	90.52
176.1814	-38.7400	102.84	96.12	178.62	91.16
176.1837	-38.7400	102.82	96.79	178.56	91.80
176.1861	-38.7400	102.81	97.47	178.51	92.46
176.1884	-38.7400	102.79	98.16	178.45	93.12
176.1907	-38.7400	102.77	98.85	178.39	93.79
176.1930	-38.7400	102.76	99.56	178.34	94.47
176.1954	-38.7400	102.74	100.27	178.29	95.16
176.1977	-38.7400	102.72	100.98	178.23	95.86
176.2000	-38.7400	102.71	101.71	178.18	96.56
175.9700	-38.7384	99.99	99.25	175.15	93.92
175.9723	-38.7384	100.02	98.65	175.17	93.32
175.9746	-38.7384	100.06	98.06	175.20	92.73
175.9770	-38.7384	100.10	97.48	175.22	92.14
175.9793	-38.7384	100.15	96.91	175.25	91.56
175.9816	-38.7384	100.19	96.34	175.28	91.00
175.9839	-38.7384	100.23	95.79	175.31	90.44
175.9863	-38.7384	100.28	95.24	175.35	89.88
175.9886	-38.7384	100.33	94.70	175.38	89.34
175.9909	-38.7384	100.38	94.17	175.41	88.81
175.9932	-38.7384	100.43	93.65	175.45	88.28
175.9956	-38.7384	100.48	93.14	175.49	87.77
