# lat	lon	mean_temp_z1	std_temp_z1	mean_temp_z2	std_temp_z2
175.9700	-38.7400	102.58	100.50	175.04	94.10
175.9723	-38.7400	102.61	99.91	175.07	93.50
175.9746	-38.7400	102.64	99.32	175.09	92.91
175.9770	-38.7400	102.68	98.75	175.11	92.33
175.9793	-38.7400	102.72	98.18	175.14	91.76
175.9816	-38.7400	102.76	97.62	175.17	91.20
175.9839	-38.7400	102.79	97.07	175.19	90.65
175.9863	-38.7400	102.84	96.52	175.22	90.10
175.9886	-38.7400	102.88	95.99	175.25	89.57
175.9909	-38.7400	102.92	95.46	175.29	89.04
175.9932	-38.7400	102.97	94.95	175.32	88.52
175.9956	-38.7400	103.01	94.44	175.35	88.01
175.9979	-38.7400	103.06	93.94	175.39	87.51
176.0002	-38.7400	103.11	93.46	175.43	87.02
176.0025	-38.7400	103.16	92.98	175.46	86.54
176.0048	-38.7400	103.21	92.51	175.50	86.07
176.0072	-38.7400	103.26	92.05	175.54	85.61
176.0095	-38.7400	103.32	91.60	175.59	85.16
176.0118	-38.7400	103.37	91.17	175.63	84.73
176.0141	-38.7400	103.43	90.74	175.68	84.30
176.0165	-38.7400	103.48	90.32	175.72	83.88
176.0188	-38.7400	103.54	89.92	175.77	83.47
176.0211	-38.7400	103.60	89.52	175.82	83.07
176.0234	-38.7400	103.66	89.13	175.87	82.69
176.0258	-38.7400	103.72	88.76	175.93	82.32
176.0281	-38.7400	103.78	88.40	175.98	81.95
176.0304	-38.7400	103.85	88.04	176.04	81.60
176.0327	-38.7400	103.91	87.70	176.09	81.26
176.0351	-38.7400	103.97	87.37	176.15	80.93
176.0374	-38.7400	104.04	87.06	176.22	80.62
176.0397	-38.7400	104.10	86.75	176.28	80.32
176.0420	-38.7400	104.17	86.46	176.34	80.02
176.0443	-38.7400	104.23	86.17	176.41	79.75
176.0467	-38.7400	104.30	85.90	176.48	79.48
176.0490	-38.7400	104.36	85.64	176.55	79.23
176.0513	-38.7400	104.43	85.39	176.62	78.99
176.0536	-38.7400	104.49	85.16	176.69	78.76
176.0560	-38.7400	104.55	84.94	176.77	78.54
176.0583	-38.7400	104.62	84.72	176.85	78.34
176.0606	-38.7400	104.68	84.53	176.93	78.16
176.0629	-38.7400	104.74	84.34	177.01	77.98
176.0653	-38.7400	104.80	84.17	177.09	77.82
176.0676	-38.7400	104.86	84.00	177.17	77.68
176.0699	-38.7400	104.92	83.86	177.25	77.55
176.0722	-38.7400	104.97	83.72	177.34	77.43
176.0745	-38.7400	105.03	83.60	177.43	77.33
176.0769	-38.7400	105.08	83.49	177.51	77.24
176.0792	-38.7400	105.12	83.39	177.60	77.17
176.0815	-38.7400	105.17	83.30	177.69	77.12
176.0838	-38.7400	105.21	83.23	177.77	77.07
176.0862	-38.7400	105.25	83.17	177.86	77.05
176.0885	-38.7400	105.29	83.12	177.95	77.04
176.0908	-38.7400	105.32	83.09	178.03	77.04
176.0931	-38.7400	105.35	83.07	178.12	77.06
176.0955	-38.7400	105.38	83.07	178.20	77.10
176.0978	-38.7400	105.40	83.07	178.28	77.16
176.1001	-38.7400	105.42	83.09	178.36	77.23
176.1024	-38.7400	105.43	83.13	178.44	77.31
176.1047	-38.7400	105.44	83.18	178.51	77.42
176.1071	-38.7400	105.45	83.25	178.58	77.54
176.1094	-38.7400	105.45	83.33	178.65	77.67
176.1117	-38.7400	105.45	83.43	178.71	77.83
176.1140	-38.7400	105.44	83.55	178.76	78.00
176.1164	-38.7400	105.44	83.69	178.82	78.19
176.1187	-38.7400	105.43	83.84	178.86	78.40
176.1210	-38.7400	105.42	84.03	178.90	78.63
176.1233	-38.7400	105.41	84.23	178.93	78.87
176.1257	-38.7400	105.39	84.46	178.95	79.14
176.1280	-38.7400	105.38	84.72	178.97	79.42
176.1303	-38.7400	105.36	85.01	178.98	79.73
176.1326	-38.7400	105.35	85.33	178.98	80.05
176.1349	-38.7400	105.33	85.67	178.97	80.40
176.1373	-38.7400	105.32	86.04	178.95	80.76
176.1396	-38.7400	105.31	86.44	178.93	81.14
176.1419	-38.7400	105.29	86.86	178.90	81.55
176.1442	-38.7400	105.28	87.31	178.87	81.97
176.1466	-38.7400	105.27	87.78	178.82	82.40
176.1489	-38.7400	105.25	88.27	178.78	82.86
176.1512	-38.7400	105.24	88.78	178.73	83.33
176.1535	-38.7400	105.23	89.30	178.68	83.81
176.1559	-38.7400	105.21	89.84	178.62	84.31
176.1582	-38.7400	105.20	90.40	178.57	84.83
176.1605	-38.7400	105.19	90.97	178.51	85.35
176.1628	-38.7400	105.17	91.55	178.45	85.89
176.1652	-38.7400	105.16	92.14	178.38	86.45
176.1675	-38.7400	105.15	92.74	178.32	87.01
176.1698	-38.7400	105.13	93.36	178.26	87.59
176.1721	-38.7400	105.12	93.98	178.20	88.17
176.1744	-38.7400	105.10	94.61	178.14	88.77
176.1768	-38.7400	105.09	95.25	178.07	89.38
176.1791	-38.7400	105.08	95.91	178.01	90.00
176.1814	-38.7400	105.06	96.56	177.95	90.63
