well	longitud	latitud 	elevation
TH12	176.1604381	-38.66829115	458.455
TH13	176.1243067	-38.66901888	469.05
TH18	176.1525712	-38.6550403	442.71
TH19	176.088706	-38.66290804	389.84
WK122	176.0722221	-38.62321888	408.27
WK243	176.0497821	-38.6178558	519.8
WK260	176.0514038	-38.62189383	503.57
WK261	176.0438332	-38.6208623	518.63
WK262	176.0439806	-38.62081282	518.78
WK263	176.0510618	-38.61840048	520.26
WK266	176.0440866	-38.6207768	518.63
WK267A	176.0465882	-38.61670383	517.186
WK270	176.0466958	-38.61452149	510.584
WK301	176.1018926	-38.62825405	344.39
WK304	176.0945698	-38.63417636	341.04
WK305	176.1017783	-38.62814559	344.459
WK306	176.0948697	-38.63391608	341.14
WK307	176.0949044	-38.63388016	341.094
WK308	176.0945236	-38.63422126	340.785
WK309	176.0946274	-38.63413151	340.778
WK310	176.0946736	-38.63409562	341.04
WK314	176.1181604	-38.61973692	343.97
WK315B	176.1182587	-38.61984482	343.96
WK317	176.0947198	-38.63404413	341.18
WK321	176.103432	-38.62760452	343.95
WK401	176.070015	-38.65612629	443.68585
WK402	176.0705637	-38.66647898	426.34535
WK404	176.0736902	-38.65745655	430.48
WK408	176.0691757	-38.65779386	442.8
WK409A	176.0690673	-38.65795357	442.88
WK681	176.0171578	-38.62713538	535.057
WK682	176.0145091	-38.62954051	548.226
WK683	176.0147944	-38.63289171	537.99
WK684	176.0217424	-38.62346748	522.28
WK685	176.0103646	-38.61809102	552.24
WK686	176.0136658	-38.62003135	544.2
