station, lon_dec, lat_dec, z1, z2
WT004a, 414227.88827162154, 5725475.41439965, 240.94, 77.57
WT006a, 414710.958419121, 5723975.027679253, 201.39999999999998, 9.090000000000032
WT010a, 414852.5341298247, 5721899.317892801, 242.18000000000006, 45.930000000000064
WT011a, 414914.5163812285, 5723180.249203225, 245.94, 76.63999999999999
WT015a, 415713.40578979836, 5723941.2759529315, 208.77000000000004, -52.99000000000001
WT016a, 415586.4008563447, 5725794.850943075, 256.61999999999995, -60.05000000000007
WT017a, 416044.2335136613, 5722374.394124571, 297.09999999999997, 133.93999999999994
WT020a, 416252.18911365676, 5722853.4589398755, 402.91, 258.39
WT021b, 416309.9457384515, 5725283.631047899, 269.15, -91.05000000000007
WT021c, 416320.5414163683, 5725286.183551177, 248.06, -117.44000000000005
WT022a, 416478.29283824674, 5721766.670359769, 320.43, 177.44
WT023a, 416527.5007347459, 5724269.778592169, 370.15, 94.0
WT026a, 415814.0206580988, 5720567.319423466, 437.06999999999994, 243.45
WT027a, 416604.7695063278, 5722381.156622421, 369.38, 213.25
WT028a, 423808.85129607935, 5715637.560437749, 457.18, 289.13
WT033b, 416912.60538977507, 5725328.429429545, 465.47, 253.00000000000006
WT033c, 416912.92612338834, 5725297.580543356, 485.92, 198.22000000000003
WT034a, 417014.3388896448, 5721061.102207436, 331.86, 198.50000000000006
WT035a, 417090.94566452026, 5722130.966816045, 374.2, 229.91999999999996
WT036a, 422326.42990259064, 5718260.876544533, 397.29999999999995, 218.60999999999999
WT037b, 416969.90404840733, 5726803.159787179, 322.43000000000006, 232.35000000000002
WT038a, 417323.68281692045, 5724450.963565607, 383.29, 122.04000000000002
WT040a, 425519.58056929434, 5719179.7172773015, 210.91999999999996, -216.5200000000001
WT041a, 417321.5521903331, 5723655.885943976, 374.16999999999996, 94.95999999999998
WT042a, 417297.07751977426, 5720322.025766632, 325.40999999999997, 241.23999999999998
WT043a, 417527.3964747786, 5723178.361438779, 382.34000000000003, 179.07000000000005
WT044a, 417646.1578237646, 5724999.312238906, 378.97, 104.61000000000001
WT046a, 417297.1864903951, 5721613.055272508, 321.26, 197.84999999999997
WT047a, 417424.75452241965, 5719520.852034482, 219.98, 82.07
WT048a, 417973.78472053783, 5722235.972688958, 419.33, 282.47
WT050a, 417737.99196787365, 5721063.600174464, 251.18999999999997, 92.11999999999995
WT051a, 425695.6297954181, 5714370.2573346775, 479.82000000000005, -215.39
WT052a, 426926.6277175017, 5718750.379121295, 267.97, 5.110000000000014
WT053b, 417672.28039107233, 5726266.960184631, 442.31, 346.21
WT054a, 417903.5666802326, 5719966.939193386, 220.94, 95.81
WT055a, 424900.88856254175, 5713518.36755008, 380.45000000000005, -446.0999999999999
WT056a, 424599.4762201141, 5716807.023178402, 399.09000000000003, -92.13999999999999
WT057b, 428450.8830963054, 5720394.330675009, 199.8, -330.66999999999996
WT058a, 418078.54296662676, 5720577.23940563, 192.63999999999993, 28.089999999999918
WT059b, 418042.65955837484, 5726714.0145283025, 430.23, 0.7900000000000205
WT060a, 417729.7667845536, 5724210.446679728, 373.94999999999993, 100.78999999999996
WT062a, 418223.337731999, 5721333.163256973, 417.71, 258.29999999999995
