station, lon_dec, lat_dec, z1, z2
WT004a, 414227.88827162154, 5725475.41439965, 92.11000000000001, 6.82000000000005
WT006a, 414710.958419121, 5723975.027679253, 135.56, -66.06999999999994
WT010a, 414852.5341298247, 5721899.317892801, 54.77000000000004, 2.0400000000000773
WT011a, 414914.5163812285, 5723180.249203225, 161.24, -36.27999999999997
WT015a, 415713.40578979836, 5723941.2759529315, 114.06000000000006, -205.26
WT016a, 415586.4008563447, 5725794.850943075, 168.32999999999998, -182.49
WT017a, 416044.2335136613, 5722374.394124571, 233.43999999999994, -8.81000000000006
WT020a, 416252.18911365676, 5722853.4589398755, 385.20000000000005, 118.74000000000001
WT021b, 416309.9457384515, 5725283.631047899, 209.55, -250.10000000000002
WT021c, 416320.5414163683, 5725286.183551177, 181.2, -294.85
WT022a, 416478.29283824674, 5721766.670359769, 208.86, 2.8700000000000045
WT023a, 416527.5007347459, 5724269.778592169, 331.53999999999996, -87.50999999999999
WT026a, 415814.0206580988, 5720567.319423466, 255.02999999999997, 177.5
WT027a, 416604.7695063278, 5722381.156622421, 344.41, 127.69000000000005
WT028a, 423808.85129607935, 5715637.560437749, 447.99, 38.69999999999999
WT033b, 416912.60538977507, 5725328.429429545, 460.17, 201.94
WT033c, 416912.92612338834, 5725297.580543356, 480.03000000000003, 174.63000000000005
WT034a, 417014.3388896448, 5721061.102207436, 208.45000000000005, 134.00000000000006
WT035a, 417090.94566452026, 5722130.966816045, 353.25, 126.62
WT036a, 422326.42990259064, 5718260.876544533, 395.48999999999995, 204.32999999999998
WT037b, 416969.90404840733, 5726803.159787179, 240.85000000000002, 163.34000000000003
WT038a, 417323.68281692045, 5724450.963565607, 358.13, 34.48000000000002
WT040a, 425519.58056929434, 5719179.7172773015, 169.78999999999996, -416.5400000000001
WT041a, 417321.5521903331, 5723655.885943976, 349.28, 17.869999999999948
WT042a, 417297.07751977426, 5720322.025766632, 261.2, 174.79999999999995
WT043a, 417527.3964747786, 5723178.361438779, 358.15000000000003, 88.72000000000003
WT044a, 417646.1578237646, 5724999.312238906, 356.62, 70.75999999999999
WT046a, 417297.1864903951, 5721613.055272508, 231.20999999999998, 94.69999999999999
WT047a, 417424.75452241965, 5719520.852034482, 110.31, -22.089999999999975
WT048a, 417973.78472053783, 5722235.972688958, 414.6, 256.11
WT050a, 417737.99196787365, 5721063.600174464, 120.49999999999994, -22.90000000000009
WT051a, 425695.6297954181, 5714370.2573346775, 470.22, -394.24
WT052a, 426926.6277175017, 5718750.379121295, 209.77000000000004, -80.74000000000001
WT053b, 417672.28039107233, 5726266.960184631, 433.99, 218.32
WT054a, 417903.5666802326, 5719966.939193386, 120.25, 9.740000000000009
