station, lon_dec, lat_dec, elev
WT001a, 413296.0154009251, 5724418.811464973, 592.0
WT002a, 412582.01967075013, 5726003.606395625, 567.87
WT003a, 413877.65928268054, 5723184.228317881, 597.7
WT004a, 414227.88827162154, 5725475.41439965, 548.5
WT005a, 414246.4215157785, 5722751.709761271, 551.47
WT006a, 414710.958419121, 5723975.027679253, 557.0
WT008a, 413488.53520007606, 5723684.652349766, 561.8
WT010a, 414852.5341298247, 5721899.317892801, 548.7
WT011a, 414914.5163812285, 5723180.249203225, 503.6
WT012a, 415721.0841499283, 5721358.516580691, 602.3
WT014a, 430036.08350941434, 5720320.495713713, 406.18
WT015a, 415713.40578979836, 5723941.2759529315, 540.7
WT016a, 415586.4008563447, 5725794.850943075, 533.42
WT017a, 416044.2335136613, 5722374.394124571, 492.79999999999995
WT018a, 414978.40421187016, 5719724.77139531, 495.6
WT020a, 416252.18911365676, 5722853.4589398755, 486.1
WT021b, 416309.9457384515, 5725283.631047899, 494.61
WT021c, 416320.5414163683, 5725286.183551177, 493.26
WT022a, 416478.29283824674, 5721766.670359769, 587.0
WT023a, 416527.5007347459, 5724269.778592169, 542.77
WT024a, 415250.7824008612, 5726520.657834566, 504.16999999999996
WT025a, 416581.9090238669, 5719364.700307582, 483.20000000000005
WT026a, 415814.0206580988, 5720567.319423466, 570.79
WT027a, 416604.7695063278, 5722381.156622421, 472.6
WT028a, 423808.85129607935, 5715637.560437749, 494.6
WT029a, 416490.606857623, 5720448.577504507, 498.5
WT030a, 416248.27829128393, 5726249.7263697665, 473.89
WT031a, 414606.4949374978, 5721166.991380856, 540.4
WT032a, 416767.72469760437, 5727469.372852732, 476.51
WT033b, 416912.60538977507, 5725328.429429545, 516.21
WT033c, 416912.92612338834, 5725297.580543356, 516.35
WT034a, 417014.3388896448, 5721061.102207436, 530.1
WT035a, 417090.94566452026, 5722130.966816045, 462.9
WT036a, 422326.42990259064, 5718260.876544533, 426.09
WT037b, 416969.90404840733, 5726803.159787179, 481.6
WT038a, 417323.68281692045, 5724450.963565607, 523.34
WT039a, 414747.0355020089, 5727686.137800062, 550.3
WT040a, 425519.58056929434, 5719179.7172773015, 474.15
WT041a, 417321.5521903331, 5723655.885943976, 503.27
WT042a, 417297.07751977426, 5720322.025766632, 488.4
WT043a, 417527.3964747786, 5723178.361438779, 486.97
WT044a, 417646.1578237646, 5724999.312238906, 498.63
WT045a, 417835.0409770012, 5729708.2994093215, 507.88
WT046a, 417297.1864903951, 5721613.055272508, 541.4
WT047a, 417424.75452241965, 5719520.852034482, 454.69
WT048a, 417973.78472053783, 5722235.972688958, 447.81
WT049a, 415764.5299410925, 5728980.503670319, 510.5
WT050a, 417737.99196787365, 5721063.600174464, 499.16999999999996
WT051a, 425695.6297954181, 5714370.2573346775, 550.44
WT052a, 426926.6277175017, 5718750.379121295, 528.98
WT053b, 417672.28039107233, 5726266.960184631, 471.63
WT054a, 417903.5666802326, 5719966.939193386, 463.8
WT055a, 424900.88856254175, 5713518.36755008, 517.74
WT056a, 424599.4762201141, 5716807.023178402, 528.36
WT057b, 428450.8830963054, 5720394.330675009, 414.11
