station, lon_dec, lat_dec, z1, z2
WT001a, 413296.0154009251, 5724418.811464973, 234.82, 211.51
WT002a, 412582.01967075013, 5726003.606395625, 210.07, 189.11
WT003a, 413877.65928268054, 5723184.228317881, 223.70000000000005, 39.33000000000004
WT004a, 414227.88827162154, 5725475.41439965, 171.38, 127.04000000000002
WT005a, 414246.4215157785, 5722751.709761271, 172.16000000000003, 3.810000000000059
WT006a, 414710.958419121, 5723975.027679253, 151.17000000000002, -46.59000000000003
WT008a, 413488.53520007606, 5723684.652349766, 141.53999999999996, -64.56000000000006
WT010a, 414852.5341298247, 5721899.317892801, 169.33000000000004, 145.96000000000004
WT011a, 414914.5163812285, 5723180.249203225, 183.06, 81.0
WT012a, 415721.0841499283, 5721358.516580691, 392.66999999999996, 339.30999999999995
WT014a, 430036.08350941434, 5720320.495713713, 138.8, 76.68
WT015a, 415713.40578979836, 5723941.2759529315, 157.12000000000006, -119.90999999999997
WT016a, 415586.4008563447, 5725794.850943075, 166.60999999999996, -179.0
WT017a, 416044.2335136613, 5722374.394124571, 346.9699999999999, 245.89999999999998
WT018a, 414978.40421187016, 5719724.77139531, 303.81000000000006, 263.37
WT020a, 416252.18911365676, 5722853.4589398755, 389.92, 144.20000000000005
WT021b, 416309.9457384515, 5725283.631047899, 222.98000000000002, -210.03999999999996
WT021c, 416320.5414163683, 5725286.183551177, 194.02999999999997, -247.13
WT022a, 416478.29283824674, 5721766.670359769, 324.62, 248.57999999999998
WT023a, 416527.5007347459, 5724269.778592169, 336.80999999999995, -68.36000000000001
WT024a, 415250.7824008612, 5726520.657834566, 247.12999999999994, 188.30999999999995
WT025a, 416581.9090238669, 5719364.700307582, 277.14000000000004, 241.77000000000004
WT026a, 415814.0206580988, 5720567.319423466, 358.10999999999996, 307.88999999999993
WT027a, 416604.7695063278, 5722381.156622421, 349.70000000000005, 148.36
WT028a, 423808.85129607935, 5715637.560437749, 438.5, 299.64
WT029a, 416490.606857623, 5720448.577504507, 283.15, 238.98000000000002
WT030a, 416248.27829128393, 5726249.7263697665, 110.44, -248.39999999999998
WT031a, 414606.4949374978, 5721166.991380856, 307.65999999999997, 250.26
WT032a, 416767.72469760437, 5727469.372852732, 258.74, 199.15999999999997
