station, lon_dec, lat_dec, z1, z2
WT001a, 413296.0154009251, 5724418.811464973, 112.13, 98.13999999999999
WT002a, 412582.01967075013, 5726003.606395625, 108.29000000000002, 92.53000000000003
WT003a, 413877.65928268054, 5723184.228317881, 110.94000000000005, 98.40000000000003
WT004a, 414227.88827162154, 5725475.41439965, 65.70999999999998, 52.46999999999997
WT005a, 414246.4215157785, 5722751.709761271, 88.86000000000001, 69.97000000000003
WT006a, 414710.958419121, 5723975.027679253, 92.86000000000001, 63.75999999999999
WT008a, 413488.53520007606, 5723684.652349766, 67.77999999999997, 56.879999999999995
WT010a, 414852.5341298247, 5721899.317892801, 60.89000000000004, 45.23000000000002
WT011a, 414914.5163812285, 5723180.249203225, 61.400000000000034, 38.97000000000003
WT012a, 415721.0841499283, 5721358.516580691, 407.4599999999999, 394.26
WT014a, 430036.08350941434, 5720320.495713713, -36.110000000000014, -49.03000000000003
WT015a, 415713.40578979836, 5723941.2759529315, 90.58000000000004, -20.639999999999986
WT016a, 415586.4008563447, 5725794.850943075, 96.26999999999998, 4.319999999999936
WT017a, 416044.2335136613, 5722374.394124571, 287.76, 242.00999999999996
WT018a, 414978.40421187016, 5719724.77139531, 104.72000000000003, 85.52000000000004
WT020a, 416252.18911365676, 5722853.4589398755, 290.8, 224.20000000000005
WT021b, 416309.9457384515, 5725283.631047899, 191.62, 103.75999999999999
WT021c, 416320.5414163683, 5725286.183551177, 111.27999999999997, -174.5
WT022a, 416478.29283824674, 5721766.670359769, 299.17, 277.66
WT023a, 416527.5007347459, 5724269.778592169, 168.95999999999998, -62.82000000000005
WT024a, 415250.7824008612, 5726520.657834566, 225.32999999999998, 189.34999999999997
WT025a, 416581.9090238669, 5719364.700307582, 197.59000000000003, 185.94000000000005
WT026a, 415814.0206580988, 5720567.319423466, 414.06999999999994, 345.53
WT027a, 416604.7695063278, 5722381.156622421, 290.35, 233.49
WT028a, 423808.85129607935, 5715637.560437749, 438.19000000000005, 244.22000000000003
WT029a, 416490.606857623, 5720448.577504507, 272.94, 261.77
WT030a, 416248.27829128393, 5726249.7263697665, 84.44, -200.0300000000001
WT031a, 414606.4949374978, 5721166.991380856, 204.67999999999995, 190.01999999999992
WT032a, 416767.72469760437, 5727469.372852732, 5.829999999999984, -8.850000000000023
WT033b, 416912.60538977507, 5725328.429429545, 455.19000000000005, 341.39000000000004
WT033c, 416912.92612338834, 5725297.580543356, 465.28000000000003, 354.46000000000004
WT034a, 417014.3388896448, 5721061.102207436, 249.54000000000002, 227.0
WT035a, 417090.94566452026, 5722130.966816045, 305.67999999999995, 243.43999999999997
WT036a, 422326.42990259064, 5718260.876544533, 383.23999999999995, 169.97999999999996
WT037b, 416969.90404840733, 5726803.159787179, 111.37, 95.50999999999999
WT038a, 417323.68281692045, 5724450.963565607, 307.95000000000005, 157.43000000000006
WT039a, 414747.0355020089, 5727686.137800062, 357.44999999999993, 320.15
WT040a, 425519.58056929434, 5719179.7172773015, 254.33999999999997, -697.7099999999999
WT041a, 417321.5521903331, 5723655.885943976, 329.78, 106.09999999999997
WT042a, 417297.07751977426, 5720322.025766632, 276.52, 264.2
WT043a, 417527.3964747786, 5723178.361438779, 344.95000000000005, 100.64999999999998
WT044a, 417646.1578237646, 5724999.312238906, 313.74, 185.67000000000002
WT045a, 417835.0409770012, 5729708.2994093215, 24.24000000000001, 4.180000000000007
WT046a, 417297.1864903951, 5721613.055272508, 230.95999999999998, 212.69
WT047a, 417424.75452241965, 5719520.852034482, 78.80000000000001, 56.0
WT048a, 417973.78472053783, 5722235.972688958, 407.37, 244.06
WT049a, 415764.5299410925, 5728980.503670319, 27.810000000000002, 16.230000000000018
WT050a, 417737.99196787365, 5721063.600174464, 92.40999999999997, 72.30999999999995
WT051a, 425695.6297954181, 5714370.2573346775, 413.58000000000004, 128.04000000000002
WT052a, 426926.6277175017, 5718750.379121295, 183.81, -165.82999999999993
WT053b, 417672.28039107233, 5726266.960184631, 426.27, 214.18
WT054a, 417903.5666802326, 5719966.939193386, 96.03000000000003, 75.49000000000001
WT055a, 424900.88856254175, 5713518.36755008, 392.03000000000003, -553.28
WT056a, 424599.4762201141, 5716807.023178402, 341.21000000000004, -47.34000000000003
WT057b, 428450.8830963054, 5720394.330675009, 188.21, -429.17999999999995
WT058a, 418078.54296662676, 5720577.23940563, 124.02999999999997, 99.77999999999997
WT059b, 418042.65955837484, 5726714.0145283025, 412.33000000000004, 7.750000000000057
WT060a, 417729.7667845536, 5724210.446679728, 319.81999999999994, -48.76999999999998
WT061a, 417717.73775213095, 5727874.731381693, -9.990000000000009, -28.610000000000014
WT062a, 418223.337731999, 5721333.163256973, 392.06999999999994, 219.65999999999997
WT063a, 418230.0083986072, 5727179.267829094, 101.06, -13.810000000000002
WT064b, 417963.5537014541, 5725580.332867368, 386.92, 212.82000000000005
WT064c, 418013.68741234735, 5725556.764919621, 440.09999999999997, 281.68
WT065a, 411893.9644608263, 5724499.582345014, 75.24000000000001, 62.910000000000025
WT066a, 417537.02965672145, 5718877.663347608, -43.27999999999997, -95.02999999999997
WT068a, 418547.79918421904, 5723292.155486784, 449.98, 216.24
WT069b, 418541.4302990421, 5726145.79731738, 404.22, 65.49000000000001
WT070a, 418766.4710317815, 5722734.826927522, 455.59, 172.83999999999997
WT070b, 418760.49410809786, 5722731.991644749, 449.4599999999999, 270.49999999999994
WT071a, 418273.56301598554, 5723653.365081419, 410.15, 50.389999999999986
WT072a, 418850.0245251635, 5725083.210002049, 367.51, 130.93
WT073a, 418917.1214155401, 5719661.346472516, -35.55000000000001, -55.5
WT076b, 418853.2311454223, 5726551.265029523, 330.14, 277.56
WT077a, 418976.15931900364, 5720993.365385154, 340.5, 247.25
WT078a, 419137.5307340962, 5720260.097739688, 227.79000000000002, 144.54000000000002
WT079a, 418963.044575009, 5724498.612145093, 405.82, 246.45999999999998
WT080a, 423447.00551834726, 5713222.7443888, 367.97999999999996, -550.89
WT080b, 423448.5152840876, 5713219.429537556, 316.56000000000006, -537.3199999999999
