# lat	lon	mean_z1	std_z1	mean_z2	std_z2
175.9500	-38.7700	272.04	784.31	351.40	826.08
175.9658	-38.7700	272.79	746.98	354.09	789.25
175.9816	-38.7700	273.84	711.41	357.51	754.32
175.9974	-38.7700	275.27	677.69	361.83	721.42
176.0132	-38.7700	277.22	645.87	367.23	690.61
176.0289	-38.7700	279.79	616.06	373.84	662.02
176.0447	-38.7700	282.95	588.68	381.60	636.05
176.0605	-38.7700	286.27	564.93	389.92	613.83
176.0763	-38.7700	288.89	546.91	397.64	597.27
176.0921	-38.7700	290.01	536.32	403.64	587.86
176.1079	-38.7700	289.44	534.16	406.92	586.42
176.1237	-38.7700	287.66	540.66	407.08	593.07
176.1395	-38.7700	285.23	555.33	404.59	607.44
176.1553	-38.7700	282.79	576.94	400.40	628.42
176.1711	-38.7700	281.03	603.77	395.36	654.47
176.1868	-38.7700	280.10	634.49	390.22	684.36
176.2026	-38.7700	279.76	668.29	385.45	717.36
176.2184	-38.7700	279.75	704.67	381.26	753.04
176.2342	-38.7700	279.88	743.35	377.70	791.10
176.2500	-38.7700	280.05	784.04	374.72	831.28
175.9500	-38.7584	271.35	749.07	349.11	790.31
175.9658	-38.7584	272.06	710.15	351.74	751.87
175.9816	-38.7584	273.11	672.93	355.21	715.29
175.9974	-38.7584	274.65	637.42	359.79	680.63
176.0132	-38.7584	276.90	603.50	365.82	647.84
176.0289	-38.7584	280.20	570.93	373.74	616.71
176.0447	-38.7584	284.90	539.44	383.94	587.02
176.0605	-38.7584	290.67	510.16	395.95	559.82
176.0763	-38.7584	295.30	487.70	406.97	539.44
176.0921	-38.7584	297.18	474.40	415.65	527.85
176.1079	-38.7584	295.53	471.68	419.98	526.07
176.1237	-38.7584	292.30	479.50	419.03	533.89
176.1395	-38.7584	288.00	497.45	414.23	551.17
176.1553	-38.7584	283.38	523.62	407.52	576.31
176.1711	-38.7584	280.71	554.66	400.08	606.17
176.1868	-38.7584	279.70	588.88	392.99	639.23
176.2026	-38.7584	279.56	625.57	386.85	674.89
176.2184	-38.7584	279.77	664.49	381.81	712.95
176.2342	-38.7584	280.07	705.49	377.75	753.26
176.2500	-38.7584	280.35	748.38	374.49	795.58
175.9500	-38.7468	270.52	715.71	346.30	756.28
175.9658	-38.7468	271.14	675.23	348.70	716.23
175.9816	-38.7468	272.10	636.43	352.02	678.03
175.9974	-38.7468	273.60	599.29	356.61	641.75
176.0132	-38.7468	276.00	563.59	363.01	607.24
