# lat	lon	mean_z1	std_z1	mean_z2	std_z2
175.9500	-38.7700	138.20	784.31	351.40	826.08
175.9833	-38.7700	136.27	707.57	357.94	750.57
176.0167	-38.7700	132.50	639.07	368.59	684.06
176.0500	-38.7700	126.17	580.26	384.36	628.14
176.0833	-38.7700	120.64	541.21	400.59	592.14
176.1167	-38.7700	121.69	536.72	407.38	589.13
176.1500	-38.7700	126.69	569.07	401.93	620.79
176.1833	-38.7700	130.00	627.38	391.35	677.43
176.2167	-38.7700	130.50	700.51	381.69	748.95
176.2500	-38.7700	130.19	784.04	374.72	831.28
175.9500	-38.7456	139.82	712.12	345.95	752.61
175.9833	-38.7456	138.14	628.27	352.04	669.86
176.0167	-38.7456	133.68	551.48	364.33	595.37
176.0500	-38.7456	119.91	474.36	391.33	522.85
176.0833	-38.7456	97.86	407.09	428.98	462.41
176.1167	-38.7456	106.09	399.04	442.94	457.21
176.1500	-38.7456	124.86	452.50	421.28	507.38
176.1833	-38.7456	131.56	531.78	397.44	582.88
176.2167	-38.7456	130.48	617.45	382.06	665.93
176.2500	-38.7456	129.42	711.25	373.63	758.27
175.9500	-38.7211	141.90	648.87	338.14	687.52
175.9833	-38.7211	141.32	558.11	341.54	597.24
176.0167	-38.7211	138.77	476.19	350.79	516.97
176.0500	-38.7211	128.20	400.03	375.63	445.87
176.0833	-38.7211	77.18	287.36	443.38	348.74
176.1167	-38.7211	137.04	266.31	509.15	334.49
176.1500	-38.7211	154.22	323.36	474.70	385.16
176.1833	-38.7211	134.38	448.51	395.71	499.30
176.2167	-38.7211	129.44	543.63	376.81	590.95
176.2500	-38.7211	127.80	649.17	369.76	695.39
175.9500	-38.6967	143.95	595.82	328.54	632.14
175.9833	-38.6967	144.78	496.82	326.80	532.35
176.0167	-38.6967	145.57	407.53	326.17	442.10
176.0500	-38.6967	145.22	335.47	333.57	370.33
176.0833	-38.6967	160.06	288.12	380.62	337.74
176.1167	-38.6967	188.65	238.90	410.33	296.87
176.1500	-38.6967	148.04	307.19	405.00	362.94
176.1833	-38.6967	131.41	359.91	378.08	404.89
176.2167	-38.6967	124.89	476.61	361.14	520.19
176.2500	-38.6967	124.73	601.60	363.30	646.44
175.9500	-38.6722	145.17	555.27	318.57	589.02
175.9833	-38.6722	146.57	445.76	310.59	477.01
176.0167	-38.6722	146.28	341.26	292.48	365.59
176.0500	-38.6722	143.67	246.49	274.72	269.36
176.0833	-38.6722	181.59	210.07	319.48	254.72
176.1167	-38.6722	196.22	188.01	385.30	249.79
176.1500	-38.6722	124.04	232.54	395.54	288.14
176.1833	-38.6722	119.80	316.56	361.66	360.68
176.2167	-38.6722	116.41	438.47	346.31	478.28
176.2500	-38.6722	120.34	576.03	357.08	619.59
175.9500	-38.6478	144.95	531.35	309.87	562.57
175.9833	-38.6478	144.26	408.89	295.13	435.15
176.0167	-38.6478	140.78	289.37	273.22	309.01
176.0500	-38.6478	184.36	195.32	277.09	231.36
176.0833	-38.6478	211.87	176.49	334.04	226.04
176.1167	-38.6478	128.81	218.36	365.23	275.80
176.1500	-38.6478	59.73	244.48	395.56	300.08
176.1833	-38.6478	97.44	329.71	365.47	378.45
176.2167	-38.6478	105.73	447.29	346.67	488.04
176.2500	-38.6478	116.40	578.76	354.43	622.16
175.9500	-38.6233	144.25	531.40	304.97	561.05
175.9833	-38.6233	122.24	383.42	265.23	391.96
176.0167	-38.6233	148.25	276.47	285.54	303.91
176.0500	-38.6233	209.13	160.79	313.09	204.92
176.0833	-38.6233	210.01	179.38	331.83	227.98
176.1167	-38.6233	76.43	240.06	340.58	280.52
176.1500	-38.6233	46.74	294.27	365.75	340.50
176.1833	-38.6233	81.46	385.93	360.08	431.79
176.2167	-38.6233	105.71	494.01	354.45	538.19
176.2500	-38.6233	115.01	606.32	353.63	650.09
175.9500	-38.5989	145.60	562.79	306.85	593.67
175.9833	-38.5989	145.39	442.46	293.50	468.73
176.0167	-38.5989	160.49	325.11	279.83	349.29
176.0500	-38.5989	183.46	251.99	295.70	289.97
176.0833	-38.5989	153.03	267.31	303.80	303.52
176.1167	-38.5989	95.78	314.95	322.50	351.07
176.1500	-38.5989	87.89	375.21	343.47	416.82
176.1833	-38.5989	96.67	454.39	350.35	497.86
176.2167	-38.5989	108.97	548.43	351.18	592.11
176.2500	-38.5989	116.06	650.17	351.47	693.74
175.9500	-38.5744	146.50	619.42	311.51	652.35
175.9833	-38.5744	149.07	518.61	305.22	550.06
176.0167	-38.5744	153.34	430.78	298.30	460.51
176.0500	-38.5744	152.15	372.95	292.44	401.45
176.0833	-38.5744	141.35	380.18	311.58	415.79
176.1167	-38.5744	115.38	409.11	321.97	445.64
176.1500	-38.5744	111.09	463.83	336.32	504.23
176.1833	-38.5744	111.19	532.54	343.76	574.70
176.2167	-38.5744	114.90	614.72	347.09	657.56
176.2500	-38.5744	118.74	706.76	348.74	749.84
175.9500	-38.5500	145.84	692.36	316.10	726.95
175.9833	-38.5500	147.30	607.44	312.79	641.44
176.0167	-38.5500	148.27	539.80	310.84	573.69
176.0500	-38.5500	146.26	499.79	312.31	534.58
176.0833	-38.5500	138.80	493.87	318.73	530.61
176.1167	-38.5500	128.47	515.27	326.67	553.74
176.1500	-38.5500	122.00	558.05	334.45	598.20
176.1833	-38.5500	119.78	617.50	340.32	658.94
176.2167	-38.5500	120.26	690.32	344.02	732.50
176.2500	-38.5500	121.84	773.59	346.29	816.17
