# lat	lon	mean_z1	std_z1	mean_z2	std_z2
175.9700	-38.6900	349.58	595.35	301.36	606.30
175.9721	-38.6900	349.59	589.91	301.47	600.86
175.9742	-38.6900	349.59	584.54	301.59	595.49
175.9763	-38.6900	349.60	579.24	301.71	590.19
175.9784	-38.6900	349.62	574.01	301.84	584.96
175.9805	-38.6900	349.64	568.86	301.98	579.82
175.9826	-38.6900	349.67	563.79	302.13	574.75
175.9847	-38.6900	349.70	558.79	302.28	569.76
175.9868	-38.6900	349.73	553.87	302.45	564.85
175.9889	-38.6900	349.77	549.04	302.62	560.02
175.9910	-38.6900	349.82	544.29	302.80	555.28
175.9931	-38.6900	349.87	539.62	302.99	550.62
175.9952	-38.6900	349.93	535.03	303.19	546.04
175.9973	-38.6900	350.00	530.53	303.39	541.56
175.9994	-38.6900	350.07	526.11	303.61	537.15
176.0015	-38.6900	350.15	521.78	303.84	532.84
176.0036	-38.6900	350.24	517.54	304.08	528.61
176.0057	-38.6900	350.33	513.37	304.32	524.46
176.0078	-38.6900	350.44	509.29	304.58	520.40
176.0099	-38.6900	350.55	505.30	304.85	516.43
176.0120	-38.6900	350.67	501.38	305.13	512.53
176.0141	-38.6900	350.79	497.54	305.41	508.71
176.0162	-38.6900	350.93	493.79	305.71	504.98
176.0183	-38.6900	351.07	490.10	306.01	501.31
176.0204	-38.6900	351.22	486.49	306.33	497.73
176.0225	-38.6900	351.38	482.96	306.65	494.21
176.0246	-38.6900	351.54	479.50	306.98	490.77
176.0267	-38.6900	351.72	476.10	307.31	487.39
176.0288	-38.6900	351.89	472.77	307.65	484.09
176.0309	-38.6900	352.08	469.52	307.99	480.85
176.0330	-38.6900	352.26	466.32	308.34	477.68
176.0351	-38.6900	352.45	463.20	308.68	474.57
176.0372	-38.6900	352.65	460.15	309.02	471.54
176.0393	-38.6900	352.84	457.16	309.36	468.58
176.0414	-38.6900	353.03	454.26	309.69	465.69
176.0435	-38.6900	353.22	451.43	310.00	462.89
176.0456	-38.6900	353.41	448.69	310.30	460.17
176.0477	-38.6900	353.59	446.04	310.59	457.56
176.0498	-38.6900	353.76	443.50	310.85	455.05
176.0519	-38.6900	353.92	441.08	311.08	452.67
176.0540	-38.6900	354.08	438.78	311.29	450.44
176.0561	-38.6900	354.22	436.63	311.46	448.36
176.0582	-38.6900	354.34	434.64	311.59	446.46
176.0603	-38.6900	354.46	432.83	311.68	444.77
176.0624	-38.6900	354.55	431.22	311.73	443.30
176.0645	-38.6900	354.64	429.82	311.73	442.07
176.0666	-38.6900	354.71	428.64	311.68	441.09
176.0687	-38.6900	354.77	427.71	311.59	440.39
176.0708	-38.6900	354.82	427.02	311.45	439.98
176.0729	-38.6900	354.86	426.59	311.26	439.84
176.0751	-38.6900	354.91	426.40	311.02	439.99
176.0772	-38.6900	354.97	426.47	310.75	440.41
176.0793	-38.6900	355.03	426.77	310.43	441.08
176.0814	-38.6900	355.11	427.31	310.08	442.00
176.0835	-38.6900	355.21	428.06	309.70	443.15
176.0856	-38.6900	355.34	429.02	309.30	444.50
176.0877	-38.6900	355.49	430.17	308.87	446.03
176.0898	-38.6900	355.67	431.49	308.42	447.72
176.0919	-38.6900	355.87	432.96	307.96	449.55
176.0940	-38.6900	356.09	434.57	307.48	451.51
176.0961	-38.6900	356.32	436.29	306.99	453.57
176.0982	-38.6900	356.55	438.10	306.50	455.71
176.1003	-38.6900	356.79	440.00	305.99	457.91
176.1024	-38.6900	357.01	441.94	305.48	460.17
176.1045	-38.6900	357.21	443.93	304.96	462.45
176.1066	-38.6900	357.39	445.95	304.43	464.76
176.1087	-38.6900	357.54	447.99	303.90	467.08
176.1108	-38.6900	357.65	450.04	303.36	469.41
176.1129	-38.6900	357.73	452.10	302.82	471.73
176.1150	-38.6900	357.77	454.18	302.29	474.05
176.1171	-38.6900	357.78	456.27	301.77	476.38
176.1192	-38.6900	357.76	458.40	301.25	478.71
176.1213	-38.6900	357.71	460.56	300.76	481.05
176.1234	-38.6900	357.63	462.77	300.28	483.40
176.1255	-38.6900	357.54	465.03	299.81	485.76
176.1276	-38.6900	357.42	467.34	299.37	488.15
176.1297	-38.6900	357.29	469.71	298.94	490.55
176.1318	-38.6900	357.13	472.14	298.52	492.97
176.1339	-38.6900	356.95	474.60	298.10	495.40
176.1360	-38.6900	356.74	477.10	297.68	497.84
176.1381	-38.6900	356.50	479.64	297.26	500.29
176.1402	-38.6900	356.24	482.21	296.83	502.76
176.1423	-38.6900	355.95	484.82	296.39	505.26
176.1444	-38.6900	355.64	487.49	295.94	507.79
176.1465	-38.6900	355.32	490.22	295.49	510.40
176.1486	-38.6900	355.00	493.07	295.04	513.10
176.1507	-38.6900	354.69	496.05	294.61	515.94
176.1528	-38.6900	354.40	499.21	294.20	518.96
176.1549	-38.6900	354.14	502.59	293.83	522.20
176.1570	-38.6900	353.94	506.24	293.52	525.71
176.1591	-38.6900	353.79	510.20	293.26	529.53
176.1612	-38.6900	353.71	514.50	293.09	533.69
176.1633	-38.6900	353.71	519.15	292.98	538.21
176.1654	-38.6900	353.78	524.17	292.96	543.10
176.1675	-38.6900	353.92	529.53	293.00	548.35
176.1696	-38.6900	354.12	535.23	293.12	553.93
176.1717	-38.6900	354.38	541.24	293.29	559.81
176.1738	-38.6900	354.69	547.51	293.51	565.97
176.1759	-38.6900	355.03	554.02	293.76	572.37
176.1780	-38.6900	355.39	560.72	294.04	578.97
175.9700	-38.6890	349.47	592.25	301.29	603.17
175.9721	-38.6890	349.48	586.78	301.40	597.69
175.9742	-38.6890	349.48	581.37	301.52	592.29
175.9763	-38.6890	349.49	576.04	301.65	586.95
175.9784	-38.6890	349.50	570.77	301.78	581.69
175.9805	-38.6890	349.52	565.59	301.92	576.51
175.9826	-38.6890	349.55	560.48	302.07	571.41
175.9847	-38.6890	349.57	555.45	302.22	566.38
175.9868	-38.6890	349.61	550.50	302.38	561.44
